[0, 6, 116739, 6, 39, 8, 0.0255, 1e-05]
[4, 6, 170797, 6, 41, 18, 0.0393, 1e-05]
[4, 6, 151005, 1, 38, 14, 0.05, 1e-05]
[3, 8, 150079, 8, 44, 13, 0.0387, 1e-05]
[1, 8, 168140, 7, 33, 9, 0.0375, 1e-05]
[4, 8, 156516, 5, 31, 8, 0.0274, 1e-05]
[2, 6, 135597, 5, 32, 12, 0.0791, 1e-05]
[3, 8, 182970, 7, 33, 12, 0.0498, 1e-05]
[3, 7, 123804, 4, 40, 11, 0.05, 1e-05]
[3, 6, 176922, 4, 34, 17, 0.0416, 1e-05]
[0, 6, 131610, 10, 30, 6, 0.0654, 1e-05]
[0, 7, 198133, 7, 36, 20, 0.0157, 1e-05]
[1, 6, 120854, 10, 38, 16, 0.0958, 1e-05]
[3, 8, 141548, 9, 45, 20, 0.025, 1e-05]
[1, 6, 116976, 1, 38, 9, 0.0741, 1e-05]
[4, 6, 100939, 5, 42, 7, 0.031, 1e-05]
[3, 7, 116856, 8, 45, 16, 0.0735, 1e-05]
[3, 6, 110383, 5, 39, 15, 0.0339, 1e-05]
[1, 6, 178820, 5, 33, 16, 0.0724, 1e-05]
[4, 6, 107233, 7, 41, 18, 0.0884, 1e-05]
[1, 6, 127238, 3, 44, 13, 0.024, 1e-05]
[2, 7, 169246, 9, 34, 8, 0.0232, 1e-05]
[0, 7, 192695, 1, 44, 14, 0.0807, 1e-05]
[4, 8, 148228, 9, 45, 12, 0.0446, 1e-05]
[2, 8, 144848, 2, 44, 11, 0.0832, 1e-05]
[4, 6, 125820, 5, 33, 20, 0.0997, 1e-05]
[4, 7, 172398, 1, 45, 15, 0.0624, 1e-05]
[0, 8, 125264, 3, 45, 16, 0.0187, 1e-05]
[3, 6, 198210, 4, 39, 8, 0.0434, 1e-05]
[2, 6, 163925, 6, 35, 9, 0.0339, 1e-05]
[3, 8, 194567, 9, 30, 6, 0.05, 1e-05]
[0, 7, 123792, 7, 45, 9, 0.0727, 1e-05]
[4, 6, 143827, 9, 39, 8, 0.0519, 1e-05]
[1, 6, 199360, 7, 30, 6, 0.0504, 1e-05]
[1, 8, 161428, 2, 31, 11, 0.0795, 1e-05]
[4, 8, 155080, 3, 43, 17, 0.067, 1e-05]
[2, 8, 157586, 3, 41, 9, 0.0995, 1e-05]
[1, 7, 120443, 10, 31, 16, 0.0977, 1e-05]
[2, 7, 174321, 8, 43, 6, 0.0572, 1e-05]
[3, 8, 143371, 5, 35, 14, 0.0706, 1e-05]
[1, 8, 177725, 4, 42, 15, 0.0612, 1e-05]
[0, 7, 169303, 4, 34, 8, 0.0614, 1e-05]
[2, 6, 183293, 2, 35, 15, 0.0769, 1e-05]
[2, 7, 160327, 2, 45, 7, 0.0923, 1e-05]
[2, 8, 115345, 8, 43, 12, 0.0196, 1e-05]
[3, 6, 164931, 1, 43, 5, 0.0193, 1e-05]
[2, 7, 184234, 2, 33, 7, 0.0599, 1e-05]
[1, 8, 187034, 6, 43, 15, 0.0273, 1e-05]
[2, 6, 163304, 10, 38, 15, 0.0308, 1e-05]
[1, 8, 177816, 4, 37, 7, 0.092, 1e-05]
[3, 7, 162365, 7, 42, 6, 0.0465, 1e-05]
[0, 6, 176989, 2, 38, 6, 0.0374, 1e-05]
[1, 7, 169560, 3, 40, 20, 0.0225, 1e-05]
[3, 6, 109012, 4, 33, 18, 0.0365, 1e-05]
[1, 8, 154199, 6, 37, 15, 0.0286, 1e-05]
[3, 8, 122245, 9, 44, 15, 0.0832, 1e-05]
[4, 7, 174508, 9, 39, 6, 0.0724, 1e-05]
[3, 8, 129540, 3, 38, 8, 0.0257, 1e-05]
[4, 6, 105778, 8, 35, 19, 0.0526, 1e-05]
[1, 6, 148019, 10, 45, 19, 0.0122, 1e-05]
[2, 8, 192391, 8, 32, 16, 0.095, 1e-05]
[2, 6, 120574, 3, 41, 7, 0.0558, 1e-05]
[2, 8, 180042, 5, 36, 7, 0.0998, 1e-05]
[1, 7, 120826, 2, 34, 13, 0.0922, 1e-05]
[1, 8, 137104, 7, 36, 10, 0.0481, 1e-05]
[1, 8, 161543, 10, 42, 8, 0.094, 1e-05]
[0, 8, 173653, 7, 42, 14, 0.0462, 1e-05]
[4, 6, 163116, 4, 38, 13, 0.0386, 1e-05]
[0, 6, 176734, 10, 35, 20, 0.0718, 1e-05]
[4, 7, 180934, 8, 34, 16, 0.0982, 1e-05]
[2, 8, 109955, 2, 37, 10, 0.0293, 1e-05]
[1, 7, 155985, 4, 32, 8, 0.0146, 1e-05]
[4, 8, 124984, 8, 37, 16, 0.0344, 1e-05]
[2, 8, 181443, 6, 34, 15, 0.019, 1e-05]
[0, 6, 147623, 8, 45, 10, 0.0141, 1e-05]
[2, 6, 144816, 6, 40, 20, 0.0263, 1e-05]
[2, 8, 177357, 4, 41, 6, 0.0158, 1e-05]
[1, 6, 133098, 3, 41, 5, 0.0217, 1e-05]
[0, 6, 171233, 10, 30, 9, 0.0497, 1e-05]
[4, 6, 191312, 8, 34, 8, 0.0975, 1e-05]
[4, 8, 141024, 5, 43, 5, 0.0832, 1e-05]
[3, 6, 152273, 2, 44, 19, 0.0114, 1e-05]
[1, 6, 152448, 1, 33, 9, 0.0951, 1e-05]
[3, 8, 130099, 7, 39, 20, 0.0116, 1e-05]
[2, 6, 120163, 10, 41, 15, 0.0632, 1e-05]
[0, 8, 190033, 1, 38, 15, 0.0533, 1e-05]
[2, 7, 155444, 6, 35, 9, 0.0785, 1e-05]
[4, 6, 163520, 1, 35, 11, 0.0274, 1e-05]
[1, 7, 132197, 4, 30, 13, 0.0747, 1e-05]
[1, 7, 145031, 4, 42, 10, 0.0908, 1e-05]
